Sample	Assigned	Unassigned: Unmapped	Unassigned: Multi Mapping	Unassigned: No Features	Unassigned: Ambiguity
SRR14864064	25823468.0	36099409.0	23537163.0	27198075.0	158822.0
SRR14864065	20809278.0	29722651.0	27478883.0	24491300.0	127705.0
SRR14864066	16490257.0	47040577.0	18805738.0	19949455.0	101192.0
SRR14864067	40088610.0	23293451.0	12634816.0	13591569.0	323030.0
SRR14864068	33458246.0	20407250.0	10116389.0	11646865.0	267409.0
SRR14864069	39139370.0	15617397.0	11604795.0	12914577.0	312872.0
SRR14864070	39643790.0	14095564.0	12143602.0	14059254.0	316215.0
SRR14864071	40917879.0	15970489.0	22843286.0	13946833.0	319832.0
SRR14864072	35200320.0	20056119.0	11576054.0	11619892.0	265478.0
SRR22293445	732398.0	1693044.0	2078612.0	952993.0	1429.0
SRR22293446	761548.0	1893410.0	2108342.0	954478.0	1222.0
SRR22293447	866397.0	1919967.0	2891709.0	1070626.0	2454.0
SRR22293448	900201.0	1610964.0	2548124.0	1066198.0	1643.0
SRR22293449	784377.0	1777322.0	2783929.0	940145.0	1431.0
SRR22293450	852421.0	1858099.0	2713333.0	1075952.0	1446.0
SRR22293451	967634.0	2397448.0	1966335.0	1379606.0	1939.0
SRR22293452	658662.0	2066898.0	1767948.0	1012450.0	1068.0
SRR22293453	851761.0	3138951.0	2463066.0	1420125.0	1463.0
SRR22293454	586746.0	1925709.0	1416882.0	918988.0	951.0
SRR22293455	651045.0	2450877.0	1538857.0	1136436.0	1008.0
SRR22293456	709017.0	2299947.0	1673331.0	1162324.0	1220.0
SRR22293457	706548.0	2553510.0	1488142.0	1152801.0	1275.0
SRR22293458	395432.0	1425406.0	4664100.0	645747.0	1397.0
SRR22293459	532302.0	1512408.0	4386833.0	391342.0	1325.0
SRR22293460	430978.0	2013962.0	4640237.0	743098.0	1445.0
SRR22293461	922056.0	2065927.0	5990014.0	689902.0	2284.0
SRR22293462	907850.0	1804148.0	6673052.0	681511.0	2218.0
SRR22293463	814132.0	2026993.0	6614865.0	641514.0	1955.0
SRR22293464	851466.0	1949256.0	1984568.0	1085442.0	1810.0
SRR22293465	745231.0	1896434.0	4557207.0	557727.0	1766.0
SRR22293466	829187.0	1769348.0	1465454.0	1062427.0	1556.0
SRR22293467	632987.0	1924552.0	1599973.0	905546.0	1570.0
SRR22293468	770709.0	1632356.0	2161937.0	898765.0	1224.0
SRR22293469	730692.0	1234921.0	1387413.0	951198.0	1661.0
SRR22293470	920915.0	1744512.0	1845142.0	1163853.0	1958.0
SRR22293471	505423.0	2110244.0	5006411.0	851124.0	1488.0
SRR22293472	875012.0	1649698.0	1814963.0	1217779.0	1733.0
SRR22293473	539852.0	2227900.0	4839289.0	313059.0	1213.0
SRR22293474	700976.0	1646140.0	1406471.0	996512.0	1581.0
SRR22293475	960517.0	2418684.0	2712963.0	1296440.0	1636.0
SRR22293476	753573.0	2002506.0	2484866.0	987970.0	1386.0
SRR22293477	903993.0	2104836.0	2923264.0	1191310.0	1772.0
SRR22293478	722540.0	1605092.0	1910118.0	885962.0	1303.0
SRR22293479	962875.0	2124554.0	2745335.0	1251789.0	2193.0
SRR22293480	722018.0	1873991.0	5234965.0	518209.0	1663.0
SRR22293481	737259.0	1500348.0	2112537.0	889553.0	1356.0
SRR22293482	466544.0	2193125.0	4455562.0	786440.0	1365.0
SRR22293483	630691.0	2314483.0	4951089.0	514881.0	1587.0
