Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRR14864064	112816937	25823468	36099409	0	0	0	0	0	0	23537163	0	0	27198075	0	158822	22.889708484108198
SRR14864065	102629817	20809278	29722651	0	0	0	0	0	0	27478883	0	0	24491300	0	127705	20.27605486230186
SRR14864066	102387219	16490257	47040577	0	0	0	0	0	0	18805738	0	0	19949455	0	101192	16.10577683529035
SRR14864067	89931476	40088610	23293451	0	0	0	0	0	0	12634816	0	0	13591569	0	323030	44.576839815238884
SRR14864068	75896159	33458246	20407250	0	0	0	0	0	0	10116389	0	0	11646865	0	267409	44.08424146998006
SRR14864069	79589011	39139370	15617397	0	0	0	0	0	0	11604795	0	0	12914577	0	312872	49.17685181437925
SRR14864070	80258425	39643790	14095564	0	0	0	0	0	0	12143602	0	0	14059254	0	316215	49.39517564666887
SRR14864071	93998319	40917879	15970489	0	0	0	0	0	0	22843286	0	0	13946833	0	319832	43.530436964516355
SRR14864072	78717863	35200320	20056119	0	0	0	0	0	0	11576054	0	0	11619892	0	265478	44.71706758604461
SRR22293445	5458476	732398	1693044	0	0	0	0	0	0	2078612	0	0	952993	0	1429	13.417627923984643
SRR22293446	5719000	761548	1893410	0	0	0	0	0	0	2108342	0	0	954478	0	1222	13.316104214023431
SRR22293447	6751153	866397	1919967	0	0	0	0	0	0	2891709	0	0	1070626	0	2454	12.833318990104356
SRR22293448	6127130	900201	1610964	0	0	0	0	0	0	2548124	0	0	1066198	0	1643	14.692049948344494
SRR22293449	6287204	784377	1777322	0	0	0	0	0	0	2783929	0	0	940145	0	1431	12.475768242926426
SRR22293450	6501251	852421	1858099	0	0	0	0	0	0	2713333	0	0	1075952	0	1446	13.111645743257721
SRR22293451	6712962	967634	2397448	0	0	0	0	0	0	1966335	0	0	1379606	0	1939	14.414411998757032
SRR22293452	5507026	658662	2066898	0	0	0	0	0	0	1767948	0	0	1012450	0	1068	11.96039386776093
SRR22293453	7875366	851761	3138951	0	0	0	0	0	0	2463066	0	0	1420125	0	1463	10.815510034708229
SRR22293454	4849276	586746	1925709	0	0	0	0	0	0	1416882	0	0	918988	0	951	12.09966188767148
SRR22293455	5778223	651045	2450877	0	0	0	0	0	0	1538857	0	0	1136436	0	1008	11.26721831261964
SRR22293456	5845839	709017	2299947	0	0	0	0	0	0	1673331	0	0	1162324	0	1220	12.128575556049354
SRR22293457	5902276	706548	2553510	0	0	0	0	0	0	1488142	0	0	1152801	0	1275	11.970771953056753
SRR22293458	7132082	395432	1425406	0	0	0	0	0	0	4664100	0	0	645747	0	1397	5.544411856173275
SRR22293459	6824210	532302	1512408	0	0	0	0	0	0	4386833	0	0	391342	0	1325	7.800199583541538
SRR22293460	7829720	430978	2013962	0	0	0	0	0	0	4640237	0	0	743098	0	1445	5.504385852878519
SRR22293461	9670183	922056	2065927	0	0	0	0	0	0	5990014	0	0	689902	0	2284	9.535041891141047
SRR22293462	10068779	907850	1804148	0	0	0	0	0	0	6673052	0	0	681511	0	2218	9.016485514281324
SRR22293463	10099459	814132	2026993	0	0	0	0	0	0	6614865	0	0	641514	0	1955	8.061144661313048
SRR22293464	5872542	851466	1949256	0	0	0	0	0	0	1984568	0	0	1085442	0	1810	14.499104476391993
SRR22293465	7758365	745231	1896434	0	0	0	0	0	0	4557207	0	0	557727	0	1766	9.60551611067538
SRR22293466	5127972	829187	1769348	0	0	0	0	0	0	1465454	0	0	1062427	0	1556	16.169881582816757
SRR22293467	5064628	632987	1924552	0	0	0	0	0	0	1599973	0	0	905546	0	1570	12.49819335200927
SRR22293468	5464991	770709	1632356	0	0	0	0	0	0	2161937	0	0	898765	0	1224	14.10265817455143
SRR22293469	4305885	730692	1234921	0	0	0	0	0	0	1387413	0	0	951198	0	1661	16.96961251868083
SRR22293470	5676380	920915	1744512	0	0	0	0	0	0	1845142	0	0	1163853	0	1958	16.223631962624065
SRR22293471	8474690	505423	2110244	0	0	0	0	0	0	5006411	0	0	851124	0	1488	5.963911364309491
SRR22293472	5559185	875012	1649698	0	0	0	0	0	0	1814963	0	0	1217779	0	1733	15.739933101704656
SRR22293473	7921313	539852	2227900	0	0	0	0	0	0	4839289	0	0	313059	0	1213	6.815183290951891
SRR22293474	4751680	700976	1646140	0	0	0	0	0	0	1406471	0	0	996512	0	1581	14.752171863425145
SRR22293475	7390240	960517	2418684	0	0	0	0	0	0	2712963	0	0	1296440	0	1636	12.997101582627899
SRR22293476	6230301	753573	2002506	0	0	0	0	0	0	2484866	0	0	987970	0	1386	12.09529042015787
SRR22293477	7125175	903993	2104836	0	0	0	0	0	0	2923264	0	0	1191310	0	1772	12.687309434505117
SRR22293478	5125015	722540	1605092	0	0	0	0	0	0	1910118	0	0	885962	0	1303	14.098300200096975
SRR22293479	7086746	962875	2124554	0	0	0	0	0	0	2745335	0	0	1251789	0	2193	13.586983363027263
SRR22293480	8350846	722018	1873991	0	0	0	0	0	0	5234965	0	0	518209	0	1663	8.646046161071585
SRR22293481	5241053	737259	1500348	0	0	0	0	0	0	2112537	0	0	889553	0	1356	14.067001421279274
SRR22293482	7903036	466544	2193125	0	0	0	0	0	0	4455562	0	0	786440	0	1365	5.903351572737363
