Sample	SE mapped uniquely	SE multimapped	SE not aligned
SRR22293445_hisat2	1686820.0	532392.0	1693044.0
SRR22293446_hisat2	1717248.0	536380.0	1893410.0
SRR22293447_hisat2	1939477.0	713653.0	1919967.0
SRR22293448_hisat2	1968042.0	637679.0	1610964.0
SRR22293449_hisat2	1725953.0	689174.0	1777322.0
SRR22293450_hisat2	1929819.0	683689.0	1858099.0
SRR22293451_hisat2	2349179.0	518749.0	2397448.0
SRR22293452_hisat2	1672180.0	455818.0	2066898.0
SRR22293453_hisat2	2273349.0	626005.0	3138951.0
SRR22293454_hisat2	1506685.0	369837.0	1925709.0
SRR22293455_hisat2	1788489.0	402416.0	2450877.0
SRR22293456_hisat2	1872561.0	438109.0	2299947.0
SRR22293457_hisat2	1860624.0	394277.0	2553510.0
SRR22293458_hisat2	1042576.0	1091861.0	1425406.0
SRR22293459_hisat2	924969.0	1015739.0	1512408.0
SRR22293460_hisat2	1175521.0	1083907.0	2013962.0
SRR22293461_hisat2	1614242.0	1398365.0	2065927.0
SRR22293462_hisat2	1591579.0	1550921.0	1804148.0
SRR22293463_hisat2	1457601.0	1521324.0	2026993.0
SRR22293464_hisat2	1938718.0	527165.0	1949256.0
SRR22293465_hisat2	1304724.0	1051200.0	1896434.0
SRR22293466_hisat2	1893170.0	395290.0	1769348.0
SRR22293467_hisat2	1540103.0	417940.0	1924552.0
SRR22293468_hisat2	1670698.0	543134.0	1632356.0
SRR22293469_hisat2	1683551.0	369745.0	1234921.0
SRR22293470_hisat2	2086726.0	484040.0	1744512.0
SRR22293471_hisat2	1358035.0	1163823.0	2110244.0
SRR22293472_hisat2	2094524.0	482784.0	1649698.0
SRR22293473_hisat2	854124.0	1108850.0	2227900.0
SRR22293474_hisat2	1699069.0	375056.0	1646140.0
SRR22293475_hisat2	2258593.0	696794.0	2418684.0
SRR22293476_hisat2	1742929.0	621318.0	2002506.0
SRR22293477_hisat2	2097075.0	740033.0	2104836.0
SRR22293478_hisat2	1609805.0	488530.0	1605092.0
SRR22293479_hisat2	2216857.0	698205.0	2124554.0
SRR22293480_hisat2	1241890.0	1217161.0	1873991.0
SRR22293481_hisat2	1628168.0	531495.0	1500348.0
SRR22293482_hisat2	1254349.0	1018307.0	2193125.0
SRR22293483_hisat2	1147159.0	1134280.0	2314483.0
