Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi
SRR14864064_hisat2	47911876	47911876	19457263	25328585	3126028	66452	36099409	2390291	291922	62.33	145961.0	18049704.5	1195145.5				
SRR14864065_hisat2	41195964	41195964	16277627	21476749	3441588	62359	29722651	2350067	357818	63.93	178909.0	14861325.5	1175033.5				
SRR14864066_hisat2	44334294	44334294	24732923	17190609	2410762	53105	47040577	2053476	265583	46.95	132791.5	23520288.5	1026738.0				
SRR14864067_hisat2	40811130	40811130	13052723	25709520	2048887	90524	23293451	2403121	227826	71.46	113913.0	11646725.5	1201560.5				
SRR14864068_hisat2	34641040	34641040	11377426	21605607	1658007	80413	20407250	2000480	186296	70.54	93148.0	10203625.0	1000240.0				
SRR14864069_hisat2	36008389	36008389	9108714	24983867	1915808	87220	15617397	2224645	200946	78.31	100473.0	7808698.5	1112322.5				
SRR14864070_hisat2	36147614	36147614	8404036	25761567	1982011	91224	14095564	2313677	216383	80.5	108191.5	7047782.0	1156838.5				
SRR14864071_hisat2	38819722	38819722	9187835	26503376	3128511	77774	15970489	2022244	227389	79.43	113694.5	7985244.5	1011122.0				
SRR14864072_hisat2	35470851	35470851	10955935	22688187	1826729	53804	20056119	1601708	146435	71.73	73217.5	10028059.5	800854.0				
SRR22293445_hisat2	3912256									56.72				3912256	1693044	1686820	532392
SRR22293446_hisat2	4147038									54.34				4147038	1893410	1717248	536380
SRR22293447_hisat2	4573097									58.02				4573097	1919967	1939477	713653
SRR22293448_hisat2	4216685									61.8				4216685	1610964	1968042	637679
SRR22293449_hisat2	4192449									57.61				4192449	1777322	1725953	689174
SRR22293450_hisat2	4471607									58.45				4471607	1858099	1929819	683689
SRR22293451_hisat2	5265376									54.47				5265376	2397448	2349179	518749
SRR22293452_hisat2	4194896									50.73				4194896	2066898	1672180	455818
SRR22293453_hisat2	6038305									48.02				6038305	3138951	2273349	626005
SRR22293454_hisat2	3802231									49.35				3802231	1925709	1506685	369837
SRR22293455_hisat2	4641782									47.2				4641782	2450877	1788489	402416
SRR22293456_hisat2	4610617									50.12				4610617	2299947	1872561	438109
SRR22293457_hisat2	4808411									46.89				4808411	2553510	1860624	394277
SRR22293458_hisat2	3559843									59.96				3559843	1425406	1042576	1091861
SRR22293459_hisat2	3453116									56.2				3453116	1512408	924969	1015739
SRR22293460_hisat2	4273390									52.87				4273390	2013962	1175521	1083907
SRR22293461_hisat2	5078534									59.32				5078534	2065927	1614242	1398365
SRR22293462_hisat2	4946648									63.53				4946648	1804148	1591579	1550921
SRR22293463_hisat2	5005918									59.51				5005918	2026993	1457601	1521324
SRR22293464_hisat2	4415139									55.85				4415139	1949256	1938718	527165
SRR22293465_hisat2	4252358									55.4				4252358	1896434	1304724	1051200
SRR22293466_hisat2	4057808									56.4				4057808	1769348	1893170	395290
SRR22293467_hisat2	3882595									50.43				3882595	1924552	1540103	417940
SRR22293468_hisat2	3846188									57.56				3846188	1632356	1670698	543134
SRR22293469_hisat2	3288217									62.44				3288217	1234921	1683551	369745
SRR22293470_hisat2	4315278									59.57				4315278	1744512	2086726	484040
SRR22293471_hisat2	4632102									54.44				4632102	2110244	1358035	1163823
SRR22293472_hisat2	4227006									60.97				4227006	1649698	2094524	482784
SRR22293473_hisat2	4190874									46.84				4190874	2227900	854124	1108850
SRR22293474_hisat2	3720265									55.75				3720265	1646140	1699069	375056
SRR22293475_hisat2	5374071									54.99				5374071	2418684	2258593	696794
SRR22293476_hisat2	4366753									54.14				4366753	2002506	1742929	621318
SRR22293477_hisat2	4941944									57.41				4941944	2104836	2097075	740033
SRR22293478_hisat2	3703427									56.66				3703427	1605092	1609805	488530
SRR22293479_hisat2	5039616									57.84				5039616	2124554	2216857	698205
SRR22293480_hisat2	4333042									56.75				4333042	1873991	1241890	1217161
SRR22293481_hisat2	3660011									59.01				3660011	1500348	1628168	531495
SRR22293482_hisat2	4465781									50.89				4465781	2193125	1254349	1018307
SRR22293483_hisat2	4595922									49.64				4595922	2314483	1147159	1134280
