Sample	bowtie_2_hisat2-overall_alignment_rate
SRR14864064_hisat2	62.33
SRR14864065_hisat2	63.93
SRR14864066_hisat2	46.95
SRR14864067_hisat2	71.46
SRR14864068_hisat2	70.54
SRR14864069_hisat2	78.31
SRR14864070_hisat2	80.5
SRR14864071_hisat2	79.43
SRR14864072_hisat2	71.73
SRR22293445_hisat2	56.72
SRR22293446_hisat2	54.34
SRR22293447_hisat2	58.02
SRR22293448_hisat2	61.8
SRR22293449_hisat2	57.61
SRR22293450_hisat2	58.45
SRR22293451_hisat2	54.47
SRR22293452_hisat2	50.73
SRR22293453_hisat2	48.02
SRR22293454_hisat2	49.35
SRR22293455_hisat2	47.2
SRR22293456_hisat2	50.12
SRR22293457_hisat2	46.89
SRR22293458_hisat2	59.96
SRR22293459_hisat2	56.2
SRR22293460_hisat2	52.87
SRR22293461_hisat2	59.32
SRR22293462_hisat2	63.53
SRR22293463_hisat2	59.51
SRR22293464_hisat2	55.85
SRR22293465_hisat2	55.4
SRR22293466_hisat2	56.4
SRR22293467_hisat2	50.43
SRR22293468_hisat2	57.56
SRR22293469_hisat2	62.44
SRR22293470_hisat2	59.57
SRR22293471_hisat2	54.44
SRR22293472_hisat2	60.97
SRR22293473_hisat2	46.84
SRR22293474_hisat2	55.75
SRR22293475_hisat2	54.99
SRR22293476_hisat2	54.14
SRR22293477_hisat2	57.41
SRR22293478_hisat2	56.66
SRR22293479_hisat2	57.84
SRR22293480_hisat2	56.75
SRR22293481_hisat2	59.01
SRR22293482_hisat2	50.89
SRR22293483_hisat2	49.64
