sample_id	host_age_hpf	host_life_stage	batch
SRR14864064	280.0	recruit	PRJNA738963
SRR14864065	280.0	recruit	PRJNA738963
SRR14864066	280.0	recruit	PRJNA738963
SRR14864067	231.0	metamorphosed larva	PRJNA738963
SRR14864068	231.0	metamorphosed larva	PRJNA738963
SRR14864069	231.0	metamorphosed larva	PRJNA738963
SRR14864070	183.0	swimming larva	PRJNA738963
SRR14864071	183.0	swimming larva	PRJNA738963
SRR14864072	183.0	swimming larva	PRJNA738963
SRR22293445	93.0	Larvae	PRJNA900235
SRR22293446	93.0	Larvae	PRJNA900235
SRR22293447	65.0	Embryo	PRJNA900235
SRR22293448	65.0	Embryo	PRJNA900235
SRR22293449	65.0	Embryo	PRJNA900235
SRR22293450	65.0	Embryo	PRJNA900235
SRR22293451	183.0	Attached Recruit	PRJNA900235
SRR22293452	231.0	Attached Recruit	PRJNA900235
SRR22293453	183.0	Attached Recruit	PRJNA900235
SRR22293454	183.0	Attached Recruit	PRJNA900235
SRR22293455	231.0	Attached Recruit	PRJNA900235
SRR22293456	231.0	Attached Recruit	PRJNA900235
SRR22293457	183.0	Attached Recruit	PRJNA900235
SRR22293458	38.0	Embryo	PRJNA900235
SRR22293459	5.0	Embryo	PRJNA900235
SRR22293460	38.0	Embryo	PRJNA900235
SRR22293461	5.0	Embryo	PRJNA900235
SRR22293462	5.0	Embryo	PRJNA900235
SRR22293463	5.0	Embryo	PRJNA900235
SRR22293464	231.0	Metamorphosed Polyp	PRJNA900235
SRR22293465	1.0	Fertilized Egg	PRJNA900235
SRR22293466	231.0	Metamorphosed Polyp	PRJNA900235
SRR22293467	231.0	Metamorphosed Polyp	PRJNA900235
SRR22293468	183.0	Metamorphosed Polyp	PRJNA900235
SRR22293469	231.0	Larvae	PRJNA900235
SRR22293470	231.0	Larvae	PRJNA900235
SRR22293471	38.0	Embryo	PRJNA900235
SRR22293472	231.0	Larvae	PRJNA900235
SRR22293473	1.0	Fertilized Egg	PRJNA900235
SRR22293474	231.0	Larvae	PRJNA900235
SRR22293475	163.0	Larvae	PRJNA900235
SRR22293476	163.0	Larvae	PRJNA900235
SRR22293477	163.0	Larvae	PRJNA900235
SRR22293478	163.0	Larvae	PRJNA900235
SRR22293479	93.0	Larvae	PRJNA900235
SRR22293480	1.0	Fertilized Egg	PRJNA900235
SRR22293481	93.0	Larvae	PRJNA900235
SRR22293482	38.0	Embryo	PRJNA900235
SRR22293483	1.0	Fertilized Egg	PRJNA900235
