feature_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Montipora_capitata_HIv3___TS.g44772.t1,589.0449392,-1.973993678,0.12311936,-16.03317045,7.50E-58,1.45E-53
Montipora_capitata_HIv3___TS.g41002.t2,4835.000694,-1.006176223,0.07207812,-13.95952368,2.75E-44,2.67E-40
Montipora_capitata_HIv3___RNAseq.g11984.t1,8971.070108,-1.725969939,0.130873752,-13.18805274,1.03E-39,4.98E-36
Montipora_capitata_HIv3___RNAseq.g9253.t1,2542.640807,-2.336265855,0.180818266,-12.92051909,3.45E-38,1.34E-34
Montipora_capitata_HIv3___RNAseq.g3971.t1,8414.695988,-1.721996105,0.134659483,-12.78778191,1.92E-37,6.20E-34
Montipora_capitata_HIv3___RNAseq.g30161.t1,833.6298333,-1.654989887,0.132945861,-12.44860035,1.42E-35,3.94E-32
Montipora_capitata_HIv3___RNAseq.g30045.t1,3814.742411,-1.495908028,0.122473118,-12.21417442,2.61E-34,6.33E-31
Montipora_capitata_HIv3___RNAseq.g47366.t1,3281.275142,-1.198970793,0.102153983,-11.73689717,8.25E-32,1.78E-28
Montipora_capitata_HIv3___RNAseq.g3140.t1,1171.855608,-1.159410368,0.104354464,-11.11030924,1.12E-28,1.97E-25
Montipora_capitata_HIv3___RNAseq.g23527.t1,904.5174146,1.011813314,0.093113789,10.86641762,1.67E-27,2.69E-24
Montipora_capitata_HIv3___RNAseq.g18070.t1,1760.395651,-1.53205614,0.143467562,-10.67876332,1.28E-26,1.77E-23
Montipora_capitata_HIv3___TS.g21451.t2,1947.750689,-1.125880634,0.106456805,-10.57593862,3.85E-26,4.98E-23
Montipora_capitata_HIv3___TS.20856_t,486.3010513,1.266568244,0.121383634,10.43442353,1.73E-25,2.09E-22
Montipora_capitata_HIv3___RNAseq.g27007.t1,48241.40886,-1.224282925,0.1174667,-10.42238289,1.96E-25,2.23E-22
Montipora_capitata_HIv3___RNAseq.g24567.t1,7872.032853,-1.058386178,0.11306071,-9.361219957,7.88E-21,6.37E-18
Montipora_capitata_HIv3___RNAseq.g34475.t1,1756.011432,-1.178895264,0.126667537,-9.307003944,1.31E-20,1.02E-17
Montipora_capitata_HIv3___TS.g36995.t1,2281.374462,-1.352941665,0.145778271,-9.280818432,1.68E-20,1.25E-17
Montipora_capitata_HIv3___RNAseq.g45431.t1,3357.874166,1.101673033,0.119748426,9.199895747,3.58E-20,2.57E-17
Montipora_capitata_HIv3___RNAseq.g30989.t1,405.7884499,-1.001346315,0.108918382,-9.193547472,3.80E-20,2.63E-17
Montipora_capitata_HIv3___RNAseq.g984.t1,707.2971583,-4.01872935,0.442491296,-9.082052879,1.07E-19,6.89E-17
Montipora_capitata_HIv3___RNAseq.g34676.t1,593.8080841,-1.543236073,0.170385265,-9.05733295,1.34E-19,8.19E-17
Montipora_capitata_HIv3___RNAseq.g15682.t1,101.0874362,-2.55769844,0.282429179,-9.056070083,1.35E-19,8.19E-17
Montipora_capitata_HIv3___TS.g13745.t2,362.3599824,-1.43493804,0.163027994,-8.801789209,1.35E-18,7.68E-16
Montipora_capitata_HIv3___RNAseq.g12653.t1,574.4027281,-2.583751734,0.293801836,-8.794198726,1.44E-18,7.98E-16
Montipora_capitata_HIv3___TS.g44925.t1b,1202.367981,-2.052758525,0.234005381,-8.772270607,1.75E-18,9.43E-16
Montipora_capitata_HIv3___RNAseq.g44458.t1,2668.666598,-1.104964759,0.126614264,-8.727016424,2.61E-18,1.37E-15
Montipora_capitata_HIv3___RNAseq.34011_t,1634.738141,-1.149656671,0.133230295,-8.629093482,6.18E-18,3.07E-15
Montipora_capitata_HIv3___RNAseq.g35640.t2,1747.020946,-1.254341038,0.145670619,-8.610803223,7.26E-18,3.52E-15
Montipora_capitata_HIv3___RNAseq.g20073.t1,1335.846613,-1.293319646,0.150473861,-8.594978817,8.33E-18,3.94E-15
Montipora_capitata_HIv3___RNAseq.g7448.t1,1529.322125,-1.049509408,0.122760882,-8.549216943,1.24E-17,5.59E-15
Montipora_capitata_HIv3___RNAseq.g37005.t1,387.1806583,-2.031762429,0.239976828,-8.466494216,2.53E-17,1.09E-14
Montipora_capitata_HIv3___RNAseq.g43993.t1,256.6531265,-2.282370649,0.270299455,-8.443859597,3.07E-17,1.29E-14
Montipora_capitata_HIv3___RNAseq.g44288.t1,341.8662696,-1.53068759,0.183041574,-8.362513244,6.14E-17,2.48E-14
Montipora_capitata_HIv3___RNAseq.g35570.t1,496.5457053,-1.435587746,0.178747272,-8.031382686,9.64E-16,3.46E-13
Montipora_capitata_HIv3___RNAseq.g11983.t1c,32921.02895,-1.337035667,0.166619477,-8.024486032,1.02E-15,3.59E-13
Montipora_capitata_HIv3___RNAseq.g23416.t1,3012.173216,-1.032181183,0.131868399,-7.827358139,4.98E-15,1.67E-12
Montipora_capitata_HIv3___RNAseq.g49812.t1,609.4513342,-2.174612674,0.280579236,-7.750440503,9.16E-15,3.00E-12
Montipora_capitata_HIv3___RNAseq.g13602.t1,3529.649326,-1.017423837,0.131363416,-7.745107944,9.55E-15,3.04E-12
Montipora_capitata_HIv3___RNAseq.g37776.t1,6436.318419,-1.079826724,0.140592833,-7.68052467,1.58E-14,4.88E-12
Montipora_capitata_HIv3___TS.g43063.t1b,1849.293008,1.382610869,0.18100304,7.638605801,2.20E-14,6.65E-12
Montipora_capitata_HIv3___TS.g50862.t1,899.6826285,1.645568852,0.22230705,7.402234213,1.34E-13,3.87E-11
Montipora_capitata_HIv3___RNAseq.g24202.t1,142.402174,1.33005959,0.180121621,7.384230631,1.53E-13,4.31E-11
Montipora_capitata_HIv3___RNAseq.g26667.t1,228.5836025,-8.948276911,1.218414961,-7.344194872,2.07E-13,5.73E-11
Montipora_capitata_HIv3___RNAseq.g27011.t1,14294.66407,-1.263803025,0.174095686,-7.259243763,3.89E-13,1.02E-10
Montipora_capitata_HIv3___RNAseq.g34572.t1,5238.279915,-1.071226741,0.152224354,-7.037157411,1.96E-12,4.64E-10
Montipora_capitata_HIv3___RNAseq.g42273.t1,456.8552645,-1.140517843,0.162411273,-7.022405673,2.18E-12,5.09E-10
Montipora_capitata_HIv3___RNAseq.29390_t,856.0781712,-1.068039655,0.152600183,-6.998940854,2.58E-12,5.88E-10
Montipora_capitata_HIv3___RNAseq.g42028.t1,167.4246803,-5.902513412,0.843655539,-6.99635472,2.63E-12,5.92E-10
Montipora_capitata_HIv3___RNAseq.g34526.t1,2621.340669,-2.056034846,0.298105206,-6.897010859,5.31E-12,1.13E-09
Montipora_capitata_HIv3___RNAseq.g47450.t1,509.2212924,-1.003411572,0.147758097,-6.790907511,1.11E-11,2.30E-09
Montipora_capitata_HIv3___RNAseq.g23568.t1,372.3361447,-1.072168342,0.158261027,-6.77468334,1.25E-11,2.54E-09
Montipora_capitata_HIv3___TS.g11897.t1,1583.65811,1.161775684,0.174022853,6.675994939,2.46E-11,4.62E-09
